################################################################################
# Atomic force comparison (ordered by atom index).
################################################################################
# Col  Name  Description
################################################################################
# 1    conf  Configuration index (starting with 1).
# 2    index Atom index (starting with 1).
# 3    fxRef Reference force in x direction.
# 4    fyRef Reference force in y direction.
# 5    fzRef Reference force in z direction.
# 6    fx    Force in x direction.
# 7    fy    Force in y direction.
# 8    fz    Force in z direction.
###########################################################################################################################################################################
#        1          2                        3                        4                        5                        6                        7                        8
#     conf      index                    fxRef                    fyRef                    fzRef                       fx                       fy                       fz
###########################################################################################################################################################################
         1          1   3.4792582635100003E-02  -1.1037355618200000E-03   1.7220508737600001E-02   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00
         1          2  -1.9091665014100000E-02   3.1912291105400002E-03   1.6684207468599999E-03   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00
         1          3  -2.1847043823600001E-02  -6.2854039981100002E-03  -1.7075637921100000E-02   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00
         1          4  -3.0168753405800001E-02   1.0647867817900000E-02  -4.5251859967799998E-03   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00
         1          5   2.6692476263300000E-03  -1.5631406378100001E-03   1.1596107954400000E-02   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00
         1          6   3.8029399306899997E-02  -1.2272279507000000E-02  -3.8501745632399998E-03   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00
         1          7   1.1435851018500000E-02   1.6888324748600001E-02  -1.4504200786199999E-02   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00
         1          8  -3.1321231230200003E-02   8.9730460475299992E-03   1.9693569436700000E-02   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00
         1          9  -2.0761670321400000E-02  -4.9135842553400004E-03   1.4173822701000000E-02   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00
         1         10   3.3079623398499999E-02  -7.2070527136200001E-03  -1.9296782653499999E-02   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00
         1         11  -4.4810467257099997E-03  -6.3800141834300002E-03  -7.4763656322500002E-03   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00
         1         12   7.6647065354499997E-03   2.4743132529999999E-05   2.3759179766099999E-03   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00
